
Rank,State,2014,2010,2009,2007,2000
10,Alaska,$60287,$69860,$79989,$95470,$90214
3,California,$67458,$67034,$71595,$90967,$81972
11,Delaware,$57954,$58548,$60078,$85591,$73439
1,Maryland,$70004,$69272,$70545,$87080,$72372
2,New Jersey,$69825,$68342,$70378,$84035,$70169
4,Connecticut,$65753,$66953,$68460,$81333,$67639
6,New Hampshire,$64712,$63557,$62731,$61369,$60489
5,Massachusetts,$64859,$62081,$61401,$59365,$56236
14,Utah,$55869,$55117,$56633,$55109,$55179
7,Virginia,$62881,$61330,$58233,$59562,$55108
13,Wyoming,$56322,$55430,$56993,$55212,$54039
9,Minnesota,$61814,$58931,$57021,$59948,$53770
16,New York,$55246,$54119,$55701,$53914,$52003
20,North Dakota,$51704,$51618,$52104,$49907,$51622
18,Illinois,$53234,$53341,$56361,$55062,$50819
District of Columbia,$65124,$63098,$57214,$52746,$50681
12,Washington,$57835,$54616,$52288,$50082,$50011
17,Rhode Island,$53636,$53966,$56235,$54124,$49280
21,Wisconsin,$50395,$49993,$52094,$50578,$48874
15,Colorado,$55387,$54659,$56033,$53514,$48201
30,Arizona,$46709,$47357,$49693,$47085,$48126
22,Nebraska,$50296,$49520,$50713,$48576,$47791
26,Kansas,$48964,$48044,$48980,$47292,$47489
19,Vermont,$52776,$52664,$53207,$51731,$47227
34,Michigan,$45981,$45255,$48591,$47950,$47064
29,Oregon,$46816,$47590,$50861,$49136,$46841
23,Pennsylvania,$50228,$48745,$50958,$49889,$46729
37,Florida,$44299,$44926,$47576,$46253,$46395
33,Georgia,$46007,$45395,$47988,$46597,$45837
24,Iowa,$49427,$48457,$50169,$48730,$45485
31,Indiana,$46438,$45734,$46581,$45888,$45040
32,Maine,$46033,$45424,$47966,$47448,$44806
35,Ohio,$45749,$45229,$46867,$45114,$44651
36,Missouri,$45247,$45043,$46032,$43424,$44624
38,Montana,$44222,$44736,$47778,$47804,$44448
28,South Dakota,$48321,$47817,$50177,$47451,$44264
27,Nevada,$48927,$47827,$45685,$43753,$43753
25,Texas,$49392,$48259,$50043,$47548,$43425
39,North Carolina,$43916,$43674,$46549,$44670,$42061
40,Idaho,$43341,$43028,$43508,$41452,$40827
42,South Carolina,$42367,$42442,$44625,$43329,$40822
44,Louisiana,$41734,$41725,$43614,$42367,$40676
45,Tennessee,$41693,$41664,$42822,$41567,$40001
43,New Mexico,$41963,$42322,$43654,$43531,$38629
46,Alabama,$41415,$40489,$42666,$40554,$38473
47,Kentucky,$41141,$40072,$41538,$40267,$38466
41,Oklahoma,$43225,$42492,$43733,$40926,$37943
48,Arkansas,$38758,$37823,$38815,$38134,$37420
49,West Virginia,$38482,$37435,$37989,$37060,$37227
50,Mississippi,$36919,$36646,$37790,$36338,$35261
